Nombre,precio1,precio2,precio3,precio4,precio5,precio6,precio7,precio8
Nest Ball - 181/198 - Uncommon,2.49,2.45,2.89,1.49
Gardevoir ex - 086/198 - Ultra Rare,6.49,6.49
Magnezone ex - 065/198 - Ultra Rare,2.49,2.39,2.48
Miraidon ex - 081/198 - Ultra Rare,4.49,6.89,8.79,10.75
Koraidon ex - 125/198 - Ultra Rare,2.49,1.89,1.99,2.15,2.4,2.49
Gyarados ex - 045/198 - Ultra Rare,3.99,3.69,3.79
Arcanine ex - 032/198 - Ultra Rare,3.49,2.96,2.99,3.29
Beach Court - 167/198 - Uncommon,0.69,1.0
Judge - 176/198 - Uncommon,1.09,1.05
Electric Generator - 170/198 - Uncommon,0.35,0.69,0.69
Arven - 166/198 - Uncommon,0.49,0.69
Professors Research (Professor Turo) - 190/198 - Holo Rare,0.69,0.69,0.7
Pal Pad - 182/198 - Common,0.49
Penny - 183/198 - Uncommon,0.75,0.49
Klefki - 096/198 - Holo Rare,0.49,0.69,0.69,1.3
Professors Research (Professor Sada) - 189/198 - Holo Rare,0.75,0.7,0.7
Toxicroak ex - 131/198 - Ultra Rare,2.49,2.37,2.38,0.99
Miriam - 179/198 - Uncommon,0.75
Oinkologne ex - 158/198 - Ultra Rare,2.99,1.88,1.93,2.4,2.99,1.79
Banette ex - 088/198 - Ultra Rare,2.49,2.07,2.08,2.09,2.25,0.99
Spidops ex - 223/198 - Full Art Secret Rare,3.79,3.35,3.79,3.79,2.29
Jacq - 175/198 - Uncommon,0.25
Skwovet - 151/198 - Common,0.59
Iron Treads ex - 143/198 - Ultra Rare,2.49,2.19,2.49
Switch - 194/198 - Common,0.39
Miraidon ex - 227/198 - Full Art Secret Rare,10.99
Dondozo - 207/198 - Illustration Rare,7.99
Banette ex - 229/198 - Full Art Secret Rare,5.99,5.85
Pokegear 3.0 - 186/198 - Common,0.69
Kingambit - 220/198 - Illustration Rare,7.99,4.79
Spidops ex - 243/198 - Special Illustration Rare,6.99,7.39
Riolu - 215/198 - Illustration Rare,11.99
Iron Treads ex - 233/198 - Full Art Secret Rare,2.99,2.85
Nest Ball - 255/198 - Gold Secret Rare,25.99
Mesagoza - 178/198 - Uncommon,0.75,0.73
Toedscool - 201/198 - Illustration Rare,5.29
Spidops ex - 019/198 - Ultra Rare,2.49,2.39,1.49
Great Tusk ex - 230/198 - Full Art Secret Rare,3.99,3.99,4.39
